Reported Date,Incident# ,DATABASE,SUMMARY,CATEGORY,CAUSED_BY,START_TIME,END_TIME
"8th Aug, 2017",INC8007234371,ORCLDB,Global Concentrix and Infosys sites were exp perf deg on app OM-R12 from 08 Aug 03:00 to 04:38 PT,PERFORMANCE,APPLICATION,08/08/2017 3:51 AM PDT,08/08/2017 6 AM PDT
"9th Aug, 2017",INC8007240974,ORCLDB,Multiple apps on host ORCLDB were unavailable since 09 Aug 06:25 PT to 09 Aug 06:52 PT,PERFORMANCE,DATABASE,09/08/2017 7:01 AM PDT,09/08/2017 12 PM PDT
