Database Name,Instance Number,Instance Name,Database Version,Cluster,Hostname,Host OS,Num CPUs,Server Memory (GB),DB Block Size,Begin Snap,Begin Time,End Snap,End Time,Elapsed Time (mins),DB Time (mins),Average Active Sessions,Busy Flag,Logical Reads/sec,Block Changes/sec,Read IOPS,Write IOPS,Redo IOPS,All Write IOPS,Total IOPS,Read Throughput (MiB/sec),Write Throughput (MiB/sec),Redo Throughput (MiB/sec),All Write Throughput (MiB/sec),Total Throughput (MiB/sec),DB CPU Time (s),DB CPU %DBTime,Wait Class User I/O Waits,Wait Class User I/O Time (s),Wait Class User I/O Latency (ms),Wait Class User I/O %DBTime,User Calls/sec,Parses/sec,Hard Parses/sec,Logons/sec,Executes/sec,Transactions/sec,Buffer Hit Ratio (%),In-Memory Sort Ratio (%),Log Switches (Total),Log Switches (Per Hour),Top5 Event1 Name,Top5 Event1 Class,Top5 Event1 Waits,Top5 Event1 Time (s),Top5 Event1 Average Time (ms),Top5 Event1 %DBTime,Top5 Event2 Name,Top5 Event2 Class,Top5 Event2 Waits,Top5 Event2 Time (s),Top5 Event2 Average Time (ms),Top5 Event2 %DBTime,Top5 Event3 Name,Top5 Event3 Class,Top5 Event3 Waits,Top5 Event3 Time (s),Top5 Event3 Average Time (ms),Top5 Event3 %DBTime,Top5 Event4 Name,Top5 Event4 Class,Top5 Event4 Waits,Top5 Event4 Time (s),Top5 Event4 Average Time (ms),Top5 Event4 %DBTime,Top5 Event5 Name,Top5 Event5 Class,Top5 Event5 Waits,Top5 Event5 Time (s),Top5 Event5 Average Time (ms),Top5 Event5 %DBTime,db file sequential read Waits,db file sequential read Time (s),db file sequential read Latency (ms),db file sequential read %DBTime,db file scattered read Waits,db file scattered read Time (s),db file scattered read Latency (ms),db file scattered read %DBTime,direct path read Waits,direct path read Time (s),direct path read Latency (ms),direct path read %DBTime,direct path write Waits,direct path write Time (s),direct path write Latency (ms),direct path write %DBTime,direct path read temp Waits,direct path read temp Time (s),direct path read temp Latency (ms),direct path read temp %DBTime,direct path write temp Waits,direct path write temp Time (s),direct path write temp Latency (ms),direct path write temp %DBTime,log file sync Waits,log file sync Time (s),log file sync Latency (ms),log file sync %DBTime,db file parallel write Waits,db file parallel write Time (s),db file parallel write Latency (ms),db file parallel write %DBTime,log file parallel write Waits,log file parallel write Time (s),log file parallel write Latency (ms),log file parallel write %DBTime,log file sequential read Waits,log file sequential read Time (s),log file sequential read Latency (ms),log file sequential read %DBTime,OS busy time,OS idle time,OS iowait time,OS sys time,OS user time,OS cpu wait time,OS resource mgr wait time,Data Guard Flag,Exadata Flag,Wait Class Admin Waits,Wait Class Admin Time (s),Wait Class Admin Latency (ms),Wait Class Admin %DBTime,Wait Class Application Waits,Wait Class Application Time (s),Wait Class Application Latency (ms),Wait Class Application %DBTime,Wait Class Cluster Waits,Wait Class Cluster Time (s),Wait Class Cluster Latency (ms),Wait Class Cluster %DBTime,Wait Class Commit Waits,Wait Class Commit Time (s),Wait Class Commit Latency (ms),Wait Class Commit %DBTime,Wait Class Concurrency Waits,Wait Class Concurrency Time (s),Wait Class Concurrency Latency (ms),Wait Class Concurrency %DBTime,Wait Class Configuration Waits,Wait Class Configuration Time (s),Wait Class Configuration Latency (ms),Wait Class Configuration %DBTime,Wait Class Network Waits,Wait Class Network Time (s),Wait Class Network Latency (ms),Wait Class Network %DBTime,Wait Class Other Waits,Wait Class Other Time (s),Wait Class Other Latency (ms),Wait Class Other %DBTime,Wait Class System I/O Waits,Wait Class System I/O Time (s),Wait Class System I/O Latency (ms),Wait Class System I/O %DBTime,Histogram <1ms db file sequential read,Histogram <2ms db file sequential read,Histogram <4ms db file sequential read,Histogram <8ms db file sequential read,Histogram <16ms db file sequential read,Histogram <32ms db file sequential read,Histogram <1s db file sequential read,Histogram >1s db file sequential read,Histogram <1ms log file parallel write,Histogram <2ms log file parallel write,Histogram <4ms log file parallel write,Histogram <8ms log file parallel write,Histogram <16ms log file parallel write,Histogram <32ms log file parallel write,Histogram <1s log file parallel write,Histogram >1s log file parallel write
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7855,01/08/17 21:00,7856,01/08/17 21:30,29.95,547.47,18.2,N,867108.3,21903.7,7092,822.8,152.8,975.6,8067.6,178.35,16.45,4.23,20.68,199.03,16762,51,16084775,14130,0.878,43,477.4,1598.5,10.6,9.8,8691.3,422.9,98.78,100,0,0,DB CPU,,,16.8K,,51,db file sequential read,User I/O,7047316,11.5K,1.63,34.9,db file parallel read,User I/O,221754,1059.4,4.777,3.2,db file scattered read,User I/O,249963,712.2,2.849,2.2,direct path read,User I/O,198721,539.5,2.715,1.6,7047316,11476,1.628,34.9,249963,712,2.848,2.2,198721,540,2.717,1.6,183,0,0,0,24357,28,1.15,0.1,27464,73,2.658,0.2,179,6,33.52,0,136718,193,1.412,4.5,274683,588,2.141,13.5,,,,,1986561,5069897,1037530,206012,1740665,,0,N,N,3,0,0,0,6633,264,39.801,0.8,1761735,1199,0.681,3.7,29906,362,12.105,1.1,348779,232,0.665,0.7,608,7,11.513,0,844096,92,0.109,0.3,424211,253,0.596,0.8,12950,17,1.313,0.1,56.1,33.4,6.6,1.7,1.1,0.8,0.3,,71.8,21.6,1.9,1.2,1.1,1,1.3,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7856,01/08/17 21:30,7857,01/08/17 22:00,30.1,627.25,20.8,N,1244763.2,23253.5,7799.6,881.5,163.9,1045.4,8845,334.04,31.45,4.49,35.94,369.98,20740,55.1,20479451,15121,0.738,40.2,364.3,1394.3,19.9,9.1,9664.4,534.8,98.97,100,1,1.99,DB CPU,,,20.7K,,55.1,db file sequential read,User I/O,8341191,10.9K,1.31,29,direct path read,User I/O,1545050,1786.5,1.156,4.7,db file scattered read,User I/O,574324,1313.6,2.287,3.5,db file parallel read,User I/O,247511,683.2,2.76,1.8,8341191,10898,1.307,29,574324,1314,2.288,3.5,1545050,1787,1.157,4.7,204,0,0,0,51864,55,1.06,0.1,35230,61,1.731,0.2,32,1,31.25,0,132326,144,1.088,3.3,296148,472,1.594,11,23199,30,1.293,0.7,2469395,4619301,1085775,264268,2158171,,0,N,N,4,0,0,0,9555,15,1.57,0,1808826,1260,0.697,3.3,27780,185,6.659,0.5,496668,317,0.638,0.8,669,4,5.979,0,604466,49,0.081,0.1,421851,313,0.742,0.8,10868,9,0.828,0,65.2,27.7,4.4,1.3,0.8,0.4,0.1,0,72.5,22.2,1.8,1.1,0.9,0.8,0.7,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7857,01/08/17 22:00,7858,01/08/17 22:30,29.89,745.58,24.9,N,1224235.1,21609.1,7597.9,736.3,146.3,882.6,8480.5,267.11,23.14,4.25,27.39,294.5,20188,45.1,19418395,21182,1.091,47.3,287.6,2019.1,19.8,8.6,11360.3,551.1,98.99,100,1,2.01,DB CPU,,,20.2K,,45.1,db file sequential read,User I/O,8661574,14.1K,1.63,31.5,direct path read,User I/O,851690,2198,2.581,4.9,db file scattered read,User I/O,689622,1772.9,2.571,4,db file parallel read,User I/O,437434,1628.5,3.723,3.6,8661574,14092,1.627,31.5,689622,1773,2.571,4,851690,2198,2.581,4.9,203,1,4.926,0,31515,38,1.206,0.1,22264,58,2.605,0.1,74,4,54.054,0,133581,164,1.228,3.2,262352,542,2.066,10.6,5279,13,2.463,0.3,2333460,4707428,1317554,220301,2070699,,0,N,N,1,0,0,0,7623,79,10.363,0.2,1737605,1406,0.809,3.1,18326,302,16.479,0.7,497736,345,0.693,0.8,568,4,7.042,0,547010,159,0.291,0.4,443529,323,0.728,0.7,30897,44,1.424,0.1,55.5,32.1,7.5,2.4,1.5,0.8,0.2,0,73.6,17.7,2.5,1.8,1.7,1.6,1.1,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7858,01/08/17 22:30,7859,01/08/17 23:00,30.1,598.44,19.8,N,1085304.8,34893.4,6887.2,1272.9,139.7,1412.6,8299.8,192.45,31.63,6.42,38.05,230.5,19212,53.5,23204846,13369,0.576,37.2,799.6,1878.2,18.8,27.7,10689,587.1,98.94,100,1,1.99,DB CPU,,,19.2K,,53.5,db file sequential read,User I/O,9268888,10.8K,1.16,30,db file scattered read,User I/O,504318,918.6,1.821,2.6,log file sync,Commit,39796,869.2,21.841,2.4,read by other session,User I/O,440932,609.7,1.383,1.7,9268888,10783,1.163,30,504318,919,1.822,2.6,269220,410,1.523,1.1,277,2,7.22,0,36745,45,1.225,0.1,22028,52,2.361,0.1,302,18,59.603,0.1,148470,107,0.721,1.5,252192,388,1.539,5.6,10521,27,2.566,0.4,2329385,4721986,924964,269640,2010809,,0,N,N,3,0,0,0,13158,13,0.988,0,2308990,1982,0.858,5.5,39796,869,21.836,2.4,624489,476,0.762,1.3,732,7,9.563,0,1419042,124,0.087,0.3,623717,466,0.747,1.3,13300,16,1.203,0,68,26.3,3.9,1,0.5,0.2,0.1,0,61.7,32,2.7,1.7,0.9,0.6,0.4,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7859,01/08/17 23:00,7860,01/08/17 23:30,30,625.75,20.8,N,1278694.2,34366.7,7436.2,1305.9,169.7,1475.6,8911.8,414.15,41.21,6.24,47.45,461.6,22002,58.6,17825528,12742,0.715,33.9,817.8,2473.2,12.9,10.4,13671.4,589.5,99.2,100,1,2,DB CPU,,,22K,,58.6,db file sequential read,User I/O,7745260,9555,1.234,25.4,direct path read,User I/O,1182461,1778.8,1.504,4.7,log file sync,Commit,72428,819.7,11.317,2.2,db file scattered read,User I/O,228183,774,3.392,2.1,7745260,9555,1.234,25.4,228183,774,3.392,2.1,1182461,1779,1.504,4.7,236,0,0,0,49917,50,1.002,0.1,37149,76,2.046,0.2,220,9,40.909,0,172758,197,1.14,3.6,305386,533,1.745,9.7,9014,28,3.106,0.5,2566952,4497087,926953,247853,2268752,,0,N,N,,,,,10649,10,0.939,0,1844186,1388,0.753,3.7,72428,820,11.322,2.2,434647,348,0.801,0.9,499,3,6.012,0,1559475,105,0.067,0.3,545763,380,0.696,1,10814,8,0.74,0,68.5,24.9,4.3,1,0.7,0.4,0.2,0,62.1,33.2,1.6,0.9,0.7,0.7,0.8,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7860,01/08/17 23:30,7861,02/08/17 0:00,30.1,644.23,21.4,N,1577432.1,36204.6,6242.9,1566.8,180.1,1746.9,7989.8,202.03,39.19,6.76,45.95,247.98,22977,59.4,20320251,13528,0.666,35,595.5,1780.2,17.3,9.8,11164.4,510.5,99.17,100,1,1.99,DB CPU,,,23K,,59.4,db file sequential read,User I/O,6489812,9424.9,1.452,24.4,db file scattered read,User I/O,886702,1902.6,2.146,4.9,db file parallel read,User I/O,306270,1009,3.294,2.6,direct path read,User I/O,251313,508.7,2.024,1.3,6489812,9425,1.452,24.4,886702,1903,2.146,4.9,251313,509,2.025,1.3,381,0,0,0,42263,30,0.71,0.1,36052,65,1.803,0.2,222,3,13.514,0,134562,126,0.936,2.7,325016,489,1.505,10.4,9050,23,2.541,0.5,2710133,4361426,872545,262379,2399240,,0,N,N,2,0,0,0,12185,79,6.483,0.2,2375654,1399,0.589,3.6,36149,211,5.837,0.5,565591,340,0.601,0.9,452,3,6.637,0,1117186,104,0.093,0.3,485091,351,0.724,0.9,13089,7,0.535,0,58.4,31.2,7,1.9,1,0.5,0.2,,65.1,30.8,1.6,0.8,0.6,0.5,0.5,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7861,02/08/17 0:00,7862,02/08/17 0:30,29.85,1221.98,40.9,Y,1652402.1,28541.6,15835.6,1900.9,158.4,2059.3,17894.9,979.62,39.7,5.36,45.06,1024.68,25997,35.5,26454201,43763,1.654,59.7,556.7,2283.6,19.9,10.9,17470.6,468.9,98.81,100,1,2.01,DB CPU,,,26K,,35.5,db file sequential read,User I/O,11287590,25K,2.21,34.1,direct path read,User I/O,3761122,12.7K,3.37,17.3,db file parallel read,User I/O,367487,2427.3,6.605,3.3,db file scattered read,User I/O,717427,2401,3.347,3.3,11287590,24978,2.213,34.1,717427,2401,3.347,3.3,3761122,12661,3.366,17.3,995,4,4.02,0,35882,145,4.041,0.2,44364,157,3.539,0.2,189,2,10.582,0,295125,385,1.305,4.4,283743,674,2.375,7.6,5104,16,3.135,0.2,3019572,3965566,2056998,318811,2613838,,0,N,N,0,0,0,0,9810,327,33.333,0.4,3108236,2046,0.658,2.8,45049,590,13.097,0.8,565955,513,0.906,0.7,684,12,17.544,0,1016655,300,0.295,0.4,576213,513,0.89,0.7,26465,33,1.247,0,47.8,32.9,11.8,3.9,1.9,1.1,0.6,0,52.1,38.5,3.1,1.8,1.7,1.5,1.3,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7862,02/08/17 0:30,7863,02/08/17 1:00,29.95,826.22,27.5,N,1503367.6,36525.6,8209.3,2034.1,197.1,2231.2,10440.5,552.27,45.2,6.64,51.84,604.11,26974,54.4,23982518,18788,0.783,37.9,490.1,2165.1,34.9,9.6,19362.9,633.9,99.2,100,1,2,DB CPU,,,27K,,54.4,db file sequential read,User I/O,8498012,12.5K,1.47,25.3,direct path read,User I/O,1728666,3897.3,2.255,7.9,db file scattered read,User I/O,359434,1072.1,2.983,2.2,gc cr block busy,Cluster,66528,616.6,9.268,1.2,8498012,12522,1.474,25.3,359434,1072,2.982,2.2,1728666,3897,2.254,7.9,518,1,1.931,0,58707,110,1.874,0.2,40587,87,2.144,0.2,220,3,13.636,0,221462,226,1.02,3.5,354251,614,1.733,9.6,9209,28,3.041,0.4,3167003,3863664,1177634,315887,2789938,,0,N,N,1,0,0,0,15227,128,8.406,0.3,2905134,2513,0.865,5.1,39859,255,6.398,0.5,830582,553,0.666,1.1,571,9,15.762,0,930991,144,0.155,0.3,625247,554,0.886,1.1,15612,15,0.961,0,59.4,29.2,7.1,2.2,1.4,0.6,0.1,,56.7,36.7,2.4,1.4,1.2,1.1,0.6,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7863,02/08/17 1:00,7864,02/08/17 1:30,30.06,1052.16,35,N,1927014.9,24192,7659.1,1085.3,180.7,1266,8925.1,463.41,21.33,4.64,25.97,489.38,32306,51.2,22214954,22774,1.025,36.1,532.7,2389.7,23.9,13,12468,619.9,98.91,100,0,0,DB CPU,,,32.3K,,51.2,db file sequential read,User I/O,7760472,13.7K,1.77,21.7,db file scattered read,User I/O,1348881,4316,3.2,6.8,direct path read,User I/O,374863,1901.7,5.073,3,read by other session,User I/O,666068,1335.9,2.006,2.1,7760472,13730,1.769,21.7,1348881,4316,3.2,6.8,374863,1902,5.074,3,678,1,1.475,0,36198,36,0.995,0.1,33245,66,1.985,0.1,22,0,0,0,205282,181,0.882,3.3,325867,587,1.801,10.6,,,,,3632568,3448736,998105,282220,3290799,,2657,N,N,1,0,0,0,11066,510,46.087,0.8,2931339,2390,0.815,3.8,38037,304,7.992,0.5,701308,856,1.221,1.4,555,8,14.414,0,1416816,349,0.246,0.6,669941,588,0.878,0.9,18938,20,1.056,0,48.5,34.2,10.5,4,2,0.7,0.1,,67.6,22.6,3.1,3,2.2,1,0.6,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7864,02/08/17 1:30,7865,02/08/17 2:00,29.97,585.06,19.5,N,991192.1,23097.4,4817.3,968.9,188,1156.9,5974.2,187.86,29.16,4.46,33.62,221.48,19460,55.4,16978247,11679,0.688,33.3,582,1752.9,19.3,9.5,10756.6,605.9,98.62,100,1,2,DB CPU,,,19.5K,,55.4,db file sequential read,User I/O,5167841,5342.5,1.034,15.2,read by other session,User I/O,1914288,3410.7,1.782,9.7,db file scattered read,User I/O,1065055,2000.5,1.878,5.7,enq: TX - row lock contention,Applicat,150,820.6,5470.667,2.3,5167841,5343,1.034,15.2,1065055,2000,1.878,5.7,188485,239,1.268,0.7,314,0,0,0,30941,16,0.517,0,30486,37,1.214,0.1,112,1,8.929,0,136551,94,0.688,2.2,338099,378,1.118,8.9,8050,29,3.602,0.7,2354301,4717422,617845,249742,2060891,,1,N,N,,,,,12148,830,68.324,2.4,2347767,1567,0.667,4.5,42467,196,4.615,0.6,636148,327,0.514,0.9,464,2,4.31,0,1023227,78,0.076,0.2,449760,302,0.671,0.9,11972,7,0.585,0,76.3,20.3,2.2,0.6,0.4,0.2,0,0,76.1,21.3,1.1,0.5,0.4,0.4,0.2,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7865,02/08/17 2:00,7866,02/08/17 2:30,30.02,524.87,17.4,N,945934.5,19743.2,4236.2,822.3,174.7,997,5233.2,200.24,23.64,3.79,27.43,227.67,18121,57.5,14637571,10973,0.75,34.8,348.3,2305.1,23.2,9.2,10541.8,590.5,98.92,100,1,2,DB CPU,,,18.1K,,57.5,db file sequential read,User I/O,5066692,6816.4,1.345,21.6,read by other session,User I/O,922112,1705.1,1.849,5.4,db file scattered read,User I/O,522545,1299.7,2.487,4.1,direct path read,User I/O,318438,600.8,1.887,1.9,5066692,6816,1.345,21.6,522545,1300,2.488,4.1,318438,601,1.887,1.9,226,0,0,0,33883,36,1.062,0.1,39518,62,1.569,0.2,244,3,12.295,0,140251,128,0.913,3,314926,450,1.429,10.4,16683,20,1.199,0.5,2152111,4907972,683807,216681,1896184,,0,N,N,4,0,0,0,8836,25,2.829,0.1,2082255,1273,0.611,4,21716,147,6.769,0.5,510960,341,0.667,1.1,392,1,2.551,0,612146,137,0.224,0.4,470291,301,0.64,1,15343,10,0.652,0,62.1,29.4,5.5,1.5,0.9,0.4,0.1,,78.1,17.4,1.3,1,0.9,0.8,0.5,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7866,02/08/17 2:30,7867,02/08/17 3:00,30.1,722.99,24,N,1507951.3,20129.9,6193.8,867.2,191.6,1058.8,7252.6,184.76,21.85,3.89,25.74,210.5,23353,53.8,18035087,12733,0.706,29.4,492.2,1492.8,28.4,9.5,11541.4,531.8,99.13,100,1,1.99,DB CPU,,,23.4K,,53.8,db file sequential read,User I/O,5935204,8112.3,1.367,18.7,enq: TX - row lock contention,Applicat,323,2171.9,6724.149,5,db file scattered read,User I/O,1061351,2127.2,2.004,4.9,SQL*Net message from dblink,Network,50999,1385.9,27.175,3.2,5935204,8112,1.367,18.7,1061351,2127,2.004,4.9,260450,631,2.423,1.5,191,0,0,0,33270,40,1.202,0.1,27446,46,1.676,0.1,193,3,15.544,0,169785,139,0.819,3.1,345708,490,1.417,10.9,4250,12,2.824,0.3,2743581,4341213,840650,262096,2433824,,0,N,N,1,0,0,0,8006,2178,272.046,5,2348956,1538,0.655,3.5,50777,240,4.727,0.6,638968,466,0.729,1.1,883,7,7.928,0,906683,1626,1.793,3.7,474652,316,0.666,0.7,10780,11,1.02,0,64.8,27.3,4.6,1.5,1.1,0.5,0.1,0,77,18.4,1.4,1,0.9,0.8,0.4,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7867,02/08/17 3:00,7868,02/08/17 3:30,30.11,715.52,23.7,N,1373789,21938.6,9387.2,1004.5,196.1,1200.6,10587.8,532.58,28.73,4.18,32.91,565.49,22779,53.1,16244703,14288,0.88,33.3,648.3,1884.9,18.8,9.9,10214.2,642.6,99.16,100,1,1.99,DB CPU,,,22.8K,,53.1,db file sequential read,User I/O,6275698,8940.9,1.425,20.8,direct path read,User I/O,1664107,2903.5,1.745,6.8,SQL*Net message from dblink,Network,62509,1823.7,29.175,4.2,db file scattered read,User I/O,319898,953.3,2.98,2.2,6275698,8941,1.425,20.8,319898,953,2.979,2.2,1664107,2903,1.744,6.8,250,4,16,0,38853,85,2.188,0.2,37230,135,3.626,0.3,100,1,10,0,494784,1448,2.927,22.4,354311,550,1.552,8.5,3378,8,2.368,0.1,2655110,4420819,1078479,258036,2342104,,0,N,N,1,0,0,0,7641,645,84.413,1.5,2279420,1813,0.795,4.2,90440,638,7.054,1.5,483283,394,0.815,0.9,785,1,1.274,0,1186679,1980,1.669,4.6,550718,352,0.639,0.8,14854,13,0.875,0,59.6,28.9,7.7,2.2,1.1,0.5,0.1,0,75,19.5,1.6,1.2,1.2,1,0.6,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7868,02/08/17 3:30,7869,02/08/17 4:00,29.74,620.52,20.8,N,1206000.2,21645.3,7344.7,961.7,192,1153.7,8498.4,527.91,17.95,4.22,22.17,550.08,20318,54.6,14832339,11690,0.788,31.4,637.3,1558.6,17.6,9.7,9318.5,646,99.18,100,0,0,DB CPU,,,20.3K,,54.6,db file sequential read,User I/O,5201764,7822.7,1.504,21,direct path read,User I/O,1226939,2198.4,1.792,5.9,SQL*Net message from dblink,Network,45722,1836.6,40.169,4.9,db file scattered read,User I/O,351882,763.5,2.17,2.1,5201764,7823,1.504,21,351882,764,2.171,2.1,1226939,2198,1.791,5.9,356,5,14.045,0,24952,24,0.962,0.1,25004,73,2.92,0.2,94,1,10.638,0,489121,1178,2.408,19.7,342449,530,1.548,8.9,,,,,2464754,4522241,903641,270071,2146322,,0,N,N,2,0,0,0,8271,279,33.732,0.7,2075880,1723,0.83,4.6,90933,497,5.466,1.3,598331,367,0.613,1,712,5,7.022,0,1116370,1854,1.661,5,523086,416,0.795,1.1,15165,13,0.857,0,59,29.8,7.1,2.2,1.2,0.6,0.1,0,77.9,16.8,1.6,1.1,1.1,1,0.6,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7869,02/08/17 4:00,7870,02/08/17 4:30,30.02,866.56,28.8,N,1559678.3,31906.3,16049.7,1067.8,186,1253.8,17303.5,1235.07,32.02,5.5,37.52,1272.59,24440,47,22596762,22517,0.996,43.3,594.3,2209.6,21.7,9.6,9941.7,602.1,99.04,100,1,2,DB CPU,,,24.4K,,47,db file sequential read,User I/O,7693705,12K,1.56,23.2,direct path read,User I/O,4130123,6033,1.461,11.6,SQL*Net message from dblink,Network,102074,1803.7,17.671,3.5,db file parallel read,User I/O,366206,1426,3.894,2.7,7693705,12040,1.565,23.2,548230,1343,2.45,2.6,4130123,6033,1.461,11.6,222,2,9.009,0,27818,33,1.186,0.1,20933,187,8.933,0.4,238,3,12.605,0,435055,1061,2.439,19.6,335252,484,1.444,8.9,17270,27,1.563,0.5,2824737,4209758,1366667,306549,2451438,,0,N,N,2,0,0,0,8490,992,116.843,1.9,2333076,1492,0.639,2.9,59862,369,6.164,0.7,582972,462,0.792,0.9,732,5,6.831,0,1193116,1851,1.551,3.6,524625,392,0.747,0.8,10411,7,0.672,0,50.3,34.2,11,3,1.1,0.4,0.1,0,67.3,27.5,1.9,1.1,1,0.9,0.3,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7870,02/08/17 4:30,7871,02/08/17 5:00,30.02,853.22,28.4,N,1483861.6,25679.3,8854.1,1117,191.1,1308.1,10162.2,569.21,29.82,4.96,34.78,603.99,25342,49.5,20234285,22235,1.099,43.4,603.9,2025.5,28.1,9.7,19299.5,679.5,98.9,100,3,6,DB CPU,,,25.3K,,49.5,db file sequential read,User I/O,7351344,11.5K,1.56,22.4,read by other session,User I/O,2068200,4324.1,2.091,8.4,db file scattered read,User I/O,1159628,2885.9,2.489,5.6,direct path read,User I/O,1297706,2612,2.013,5.1,7351344,11460,1.559,22.4,1159628,2886,2.489,5.6,1297706,2612,2.013,5.1,153,0,0,0,30042,41,1.365,0.1,26796,79,2.948,0.2,146,2,13.699,0,172710,292,1.691,5.7,343875,649,1.887,12.8,17307,27,1.56,0.5,2943362,4106574,1141071,294597,2592531,,1,N,N,1,0,0,0,9754,298,30.552,0.6,2960708,2211,0.747,4.3,43619,346,7.932,0.7,754376,433,0.574,0.8,806,8,9.926,0,1113739,94,0.084,0.2,615460,472,0.767,0.9,11588,13,1.122,0,62.5,27.8,5.1,2,1.6,0.8,0.2,0,70.3,21.8,2.3,1.7,1.6,1.4,0.8,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7871,02/08/17 5:00,7872,02/08/17 5:30,30.12,867.57,28.8,N,1327937.7,16236.9,15250.4,736.3,172.1,908.4,16158.8,1506.1,15.83,3.23,19.06,1525.16,22990,44.2,21304945,26153,1.228,50.2,495.4,1840.6,21.3,9.4,14218,541.6,99.07,100,0,0,DB CPU,,,23K,,44.2,db file sequential read,User I/O,7025110,12.5K,1.77,23.9,direct path read,User I/O,4915832,11.5K,2.34,22.1,db file scattered read,User I/O,489875,1363.5,2.783,2.6,db file parallel read,User I/O,121128,491.1,4.054,0.9,7025110,12456,1.773,23.9,489875,1363,2.782,2.6,4915832,11525,2.344,22.1,182,0,0,0,34766,68,1.956,0.1,30486,96,3.149,0.2,146,3,20.548,0,150675,171,1.135,3.9,311029,574,1.845,13.2,,,,,2663717,4409771,1621341,300069,2300523,,0,N,N,1,0,0,0,9268,112,12.085,0.2,1997670,1309,0.655,2.5,47636,296,6.214,0.6,544121,467,0.858,0.9,629,11,17.488,0,797451,65,0.082,0.1,444781,402,0.904,0.8,11794,12,1.017,0,49,35.1,10.1,3.2,1.6,0.8,0.2,,75.9,15.7,2.7,1.9,1.6,1.4,0.9,
ORCLDB,5,ORCLDB5,12.1.0.2.0,Y,hostname1,Linux x86 64-bit,40,251.63,8K,7872,02/08/17 5:30,7873,02/08/17 6:00,29.87,743.05,24.8,N,1956328.5,16995.4,7278.1,767.3,186.3,953.6,8231.7,477.02,21.95,3.34,25.29,502.31,23691,53.1,18605445,16964,0.912,38.1,414.2,1458.9,12.3,8.7,8231.1,553.4,99.41,100,1,2.01,DB CPU,,,23.7K,,53.1,db file sequential read,User I/O,7786703,12K,1.54,26.9,direct path read,User I/O,550860,1647.9,2.992,3.7,enq: TX - row lock contention,Applicat,255,1310.5,5139.216,2.9,db file parallel read,User I/O,301766,1159.9,3.844,2.6,7786703,11973,1.538,26.9,467378,1108,2.371,2.5,550860,1648,2.992,3.7,344,1,2.907,0,25195,18,0.714,0,28747,48,1.67,0.1,257,2,7.782,0,147220,169,1.148,3.7,334007,526,1.575,11.4,21954,89,4.054,1.9,2770466,4251320,1118387,263622,2456737,,0,N,N,,,,,8683,1317,151.676,3,2070276,1703,0.823,3.8,33955,307,9.041,0.7,584321,309,0.529,0.7,603,5,8.292,0,667999,62,0.093,0.1,571139,495,0.867,1.1,14508,15,1.034,0,56.4,32.1,7.4,2.2,1.2,0.6,0.1,0,79.6,14.5,1.7,1.3,1.2,1.1,0.7,
